time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,u,w,q,theta,elevAngle
0,-8.551455888,-0.313241348,1.434379343,-1026.174707,-37.58896171,172.1255211,0.045928261,-0.076358269,-1.53057223,5.511391331,-9.162992286,-183.6686676,-0.012648315,0.000859138,0.019670264,0.05419823,3.441858066
0.00836277,-8.551430706,-0.313360005,1.43440275,0.003021823,-0.014238946,0.002808929,0.045395619,-0.076274221,-1.530591954,-0.063916993,0.010085814,-0.002366934,-0.015042016,0.002161025,0.020908517,0.054372467,3.469605465
0.016760826,-8.551391895,-0.313452513,1.434428568,0.004657253,-0.011100965,0.003098078,0.044873479,-0.076143042,-1.530651378,-0.062656858,0.015741377,-0.007130861,-0.018416977,0.001038357,0.042353949,0.054725417,3.630717471
0.024857998,-8.551360237,-0.313533255,1.434470418,0.003798997,-0.009689007,0.005022017,0.044522841,-0.075919176,-1.530645147,-0.042076527,0.026864033,0.000747745,-0.017136833,-0.00068927,0.018984756,0.054883623,3.499841677
0.033247948,-8.551364109,-0.313617793,1.434521726,-0.000464683,-0.010144571,0.006157028,0.04415382,-0.075657846,-1.530604679,-0.044282587,0.031359487,0.004856098,-0.01993137,-0.000411849,0.032568076,0.055155024,3.607259551
0.042207956,-8.551353731,-0.313694889,1.434581671,0.001245409,-0.009251476,0.007193402,0.043888743,-0.075337974,-1.530600516,-0.031809257,0.038384667,0.00049963,-0.020881657,0.002175904,0.037784958,0.055469899,3.659605958
0.049917936,-8.551356298,-0.313797484,1.434646006,-0.000308043,-0.012311376,0.007720206,0.04367718,-0.07500079,-1.530622047,-0.025387569,0.040462058,-0.002583749,-0.020407445,0.001383341,0.039401077,0.055798241,3.687041758
0.058279991,-8.55139681,-0.313907085,1.434724028,-0.00486142,-0.013152188,0.009362594,0.043651785,-0.074619631,-1.530631815,-0.003047316,0.045739095,-0.00117217,-0.021028643,0.004933034,0.052777163,0.056238051,3.792362309
0.066571951,-8.551445965,-0.313993763,1.434786428,-0.005898646,-0.010401269,0.007487952,0.043713464,-0.074231985,-1.530596862,0.007401433,0.046517505,0.004194398,-0.023465381,0.001842553,0.053966086,0.056687768,3.838558602
0.074766874,-8.551510738,-0.314095323,1.43485784,-0.007772754,-0.012187214,0.00856955,0.043905453,-0.073843183,-1.530548097,0.023038723,0.046656301,0.005851738,-0.020226342,0.002567125,0.050382907,0.057107626,3.828450355
0.083160877,-8.551606443,-0.314180886,1.434955655,-0.011484623,-0.010267615,0.01173777,0.04434377,-0.073383148,-1.530502755,0.052597995,0.055204231,0.005441096,-0.021151619,0.00115524,0.050441369,0.05752797,3.858884746
0.091679811,-8.551698409,-0.314257525,1.435053263,-0.011035831,-0.009196648,0.011712978,0.044789583,-0.073012216,-1.530416095,0.053497563,0.044511742,0.010399111,-0.021654158,0.000574291,0.03412931,0.057812381,3.783954195
0.099857807,-8.551794684,-0.314332982,1.43516821,-0.011552993,-0.009054903,0.013793627,0.0452824,-0.07266646,-1.530353505,0.059138084,0.041490836,0.007510907,-0.01744386,0.000193914,0.038374353,0.058132167,3.809368943
0.10808897,-8.551906583,-0.314421542,1.435280963,-0.013427982,-0.010627101,0.013530286,0.045724606,-0.072421322,-1.530260064,0.053064744,0.029416503,0.011212873,-0.021406888,-0.000343945,0.029318363,0.058376487,3.789418526
0.116549969,-8.551999442,-0.314478127,1.435367722,-0.011143034,-0.006790224,0.010411094,0.046126407,-0.072286907,-1.530114277,0.048216067,0.016129835,0.017494442,-0.023044913,0.001630799,0.030988806,0.058634727,3.821099166
0.125354767,-8.552083805,-0.314549716,1.435455765,-0.01012361,-0.008590691,0.01056519,0.046440632,-0.072078953,-1.53002979,0.037706957,0.024954469,0.010138429,-0.021671372,0.000738816,0.036198533,0.058936382,3.863815724
0.133262873,-8.552175505,-0.314626357,1.435535842,-0.011003962,-0.009196905,0.009609227,0.046724077,-0.071858865,-1.529931439,0.034013404,0.026410544,0.011802091,-0.025327481,0.002570998,0.056567524,0.059407778,4.025797204
0.141440868,-8.552240101,-0.314689621,1.435579896,-0.007751447,-0.007591729,0.005286516,0.046899559,-0.071664814,-1.529845428,0.021057885,0.023286113,0.010321368,-0.026450841,0.002251422,0.058757995,0.059897428,4.073180625
0.150057793,-8.552312532,-0.314758281,1.435617844,-0.008691767,-0.008239246,0.004553685,0.046965043,-0.071410388,-1.529801574,0.007858112,0.030531107,0.005262513,-0.024935977,0.005460024,0.108871602,0.060804691,4.410414682
0.158270836,-8.552366695,-0.31482838,1.435644102,-0.006499593,-0.00841184,0.003151048,0.046913889,-0.071238896,-1.529813327,-0.00613852,0.020579042,-0.001410352,-0.026850454,0.003060353,0.116115803,0.061772323,4.520372425
0.166551828,-8.552392314,-0.314872999,1.435666328,-0.003074217,-0.005354226,0.002667084,0.046909668,-0.071052945,-1.529836015,-0.000506524,0.022314176,-0.002722603,-0.026356568,0.000759261,0.115008224,0.062730725,4.570623257
0.175653934,-8.552423733,-0.31491868,1.435673608,-0.003770317,-0.005481747,0.000873543,0.046695771,-0.070923137,-1.529872121,-0.025667628,0.015576853,-0.004332693,-0.022604973,-0.000523766,0.107053365,0.063622836,4.562278908
0.183291912,-8.552455397,-0.314966523,1.435676382,-0.003799634,-0.005741183,0.000332968,0.046428204,-0.070863298,-1.529916298,-0.032108006,0.007180751,-0.005301305,-0.019632984,0.000374436,0.087299044,0.064350328,4.478086354
0.191504955,-8.552467591,-0.31499839,1.435669277,-0.001463305,-0.003824024,-0.000852655,0.046084784,-0.070805676,-1.529942382,-0.041210485,0.006914684,-0.003130027,-0.016318054,-0.003572358,0.057308388,0.064827898,4.320040596
0.199695826,-8.55249734,-0.315046748,1.435672545,-0.003569948,-0.00580293,0.000392149,0.045767291,-0.070730911,-1.529942989,-0.038099075,0.008971723,-7.28E-05,-0.010836993,-0.003875784,0.035662954,0.065125089,4.188300667
0.208341837,-8.552528008,-0.315090501,1.43564997,-0.003680062,-0.005250343,-0.002709,0.045431129,-0.070739871,-1.529995896,-0.04033948,-0.0010752,-0.006348921,-0.010863306,-0.007650173,-0.005737751,0.065077275,3.947119147
0.216709852,-8.552542833,-0.315147116,1.435631785,-0.001779106,-0.006793894,-0.002182147,0.045200924,-0.070760106,-1.529992125,-0.027624541,-0.002428234,0.000452568,-0.007033812,-0.010012701,-0.040185059,0.064742399,3.711211022
0.225324869,-8.552579197,-0.315199669,1.435617856,-0.004363568,-0.006306294,-0.001671544,0.044955007,-0.07073259,-1.530068606,-0.029510116,0.003301941,-0.009177768,-0.003832694,-0.01192945,-0.048924691,0.064334693,3.62256015
0.233772993,-8.55261905,-0.315262656,1.435594803,-0.004782416,-0.007558457,-0.002766257,0.04466814,-0.070764737,-1.530134833,-0.034424041,-0.003857615,-0.007947235,-0.007141123,-0.013950686,-0.077762936,0.063686669,3.431775519
0.242012978,-8.552650304,-0.315308156,1.435584879,-0.003750528,-0.00545996,-0.001190888,0.044593452,-0.070767358,-1.530246026,-0.008962542,-0.000314502,-0.013343088,-0.005772786,-0.015045099,-0.070904869,0.063095795,3.43027671
1.249814987,-8.563478938,-0.31468406,1.439587853,-0.013166695,0.008426657,0.003029619,0.05161645,-0.065726182,-1.529594526,0.049496582,-0.037134496,0.017705914,-0.004541,-0.014628204,-0.07817268,0.062444356,3.343162349
1.474875927,-8.566005907,-0.312369578,1.439734763,-0.018446201,0.012618743,2.94E-05,0.054725417,-0.065816912,-1.524503571,0.042353949,0.017343392,0.016459823,-0.008466626,-0.012011533,-0.045880931,0.062062015,3.523587269
1.483728886,-8.566148184,-0.312279901,1.439721194,-0.017073219,0.010761319,-0.001628292,0.054883623,-0.06574306,-1.524349321,0.018984756,0.008862226,0.018509951,-0.006273816,-0.010945454,-0.058680686,0.061573009,3.409658842
1.491483927,-8.566313837,-0.312173156,1.43970861,-0.019878357,0.012809336,-0.001509981,0.055155024,-0.065594968,-1.524172834,0.032568076,0.017771122,0.021178455,-0.007581059,-0.008705677,-0.028212542,0.061337905,3.576951337
1.499845982,-8.566488588,-0.312081812,1.439717067,-0.020970175,0.010961243,0.001014848,0.055469899,-0.065544836,-1.524024633,0.037784958,0.006015803,0.017784154,-0.009990011,-0.00861785,-0.039788359,0.061006335,3.500457903
1.508318901,-8.566659029,-0.311966422,1.439719093,-0.020452833,0.01384684,0.00024308,0.055798241,-0.065489575,-1.523881282,0.039401077,0.006631359,0.017202136,-0.009492434,-0.009042221,-0.024061113,0.060805826,3.577522641
1.517028809,-8.566836301,-0.311877147,1.439750287,-0.021272675,0.010713073,0.003743248,0.056238051,-0.065460437,-1.523688008,0.052777163,0.003496532,0.023192875,-0.01023371,-0.008869142,-0.018698377,0.060650006,3.602422293
1.524828911,-8.567032402,-0.31176952,1.439754538,-0.023532082,0.012915145,0.000510106,0.056687768,-0.065547932,-1.52345173,0.053966086,-0.010499351,0.028353365,-0.012886183,-0.006901034,-0.012229658,0.060548092,3.644683179
1.533256769,-8.567201901,-0.311676691,1.439766275,-0.020339891,0.011139562,0.001408489,0.057107626,-0.065586346,-1.523206763,0.050382907,-0.004609695,0.029395993,-0.012998551,-0.008368434,0.000546664,0.060552648,3.720176868
1.542633772,-8.567378426,-0.311583291,1.439765752,-0.02118305,0.011207913,-6.28E-05,0.05752797,-0.065700983,-1.522925479,0.050441369,-0.013756486,0.033754052,-0.013468985,-0.005223,0.010447077,0.060639707,3.783555289
1.549772978,-8.567558852,-0.311488991,1.439760103,-0.021651163,0.011316061,-0.00067785,0.057812381,-0.065819891,-1.522666994,0.03412931,-0.014268945,0.031018256,-0.017044444,-0.0055503,0.017520175,0.060785708,3.849380539
1.558193922,-8.567704066,-0.311393734,1.43975327,-0.017425661,0.011430825,-0.000819892,0.058132167,-0.066011543,-1.522422675,0.038374353,-0.022998259,0.029318245,-0.014998661,-0.00365755,0.018211286,0.060937469,3.852653398
1.567360878,-8.567881986,-0.31128989,1.439740001,-0.021350356,0.012461272,-0.001592308,0.058376487,-0.066182096,-1.522164984,0.029318363,-0.020466303,0.030922987,-0.015439137,-0.004301146,0.03463077,0.061226059,3.967515561
1.574990988,-8.568074493,-0.311185187,1.439742314,-0.023100877,0.01256436,0.000277539,0.058634727,-0.066399623,-1.521953932,0.030988806,-0.026103337,0.025326187,-0.018478471,-0.002324315,0.026320765,0.061445398,3.945191197
1.58317399,-8.568255137,-0.311071693,1.439737823,-0.021677263,0.013619258,-0.000538959,0.058936382,-0.066535612,-1.521756764,0.036198533,-0.016318593,0.023660131,-0.015218073,-0.007330896,0.015118751,0.061571388,3.875565743
1.591847897,-8.568467099,-0.31097553,1.439746679,-0.025435447,0.011539619,0.001062698,0.059407778,-0.06668949,-1.521556047,0.056567524,-0.018465397,0.024086083,-0.013908974,-0.005714279,0.004281656,0.061607068,3.808373375
1.599722862,-8.568688251,-0.31088407,1.439752212,-0.026538181,0.010975138,0.000663995,0.059897428,-0.066825004,-1.521416742,0.058757995,-0.01626172,0.016716591,-0.01543384,-0.006273336,-0.005571424,0.06156064,3.755444678
1.60834384,-8.568898431,-0.310779496,1.439785001,-0.025221685,0.012548862,0.003934644,0.060804691,-0.066851207,-1.521256485,0.108871602,-0.003144347,0.019230894,-0.01126708,-0.00719223,-0.025010472,0.061352219,3.612069554
1.616687775,-8.569123333,-0.310705185,1.439796642,-0.026988167,0.008917386,0.001396956,0.061772323,-0.066980954,-1.521111903,0.116115803,-0.015569595,0.017349842,-0.010124064,-0.006608518,-0.033214002,0.061075436,3.542469531
1.624913931,-8.569342935,-0.310604827,1.439789188,-0.026352324,0.012042925,-0.000894515,0.062730725,-0.067072266,-1.520960431,0.115008224,-0.010957449,0.018176649,-0.010010851,-0.006054407,-0.051252141,0.060648335,3.411349857
1.633745909,-8.569530652,-0.310516121,1.439772855,-0.022525937,0.010644688,-0.001959929,0.063622836,-0.067296293,-1.52072873,0.107053365,-0.026883246,0.027804017,-0.009348776,-0.007381638,-0.048989115,0.060240092,3.397466819
1.642033815,-8.569694122,-0.310431266,1.439765448,-0.019616426,0.010182697,-0.000888857,0.064350328,-0.067539278,-1.520516194,0.087299044,-0.029158197,0.02550433,-0.008646105,-0.005345659,-0.059414155,0.059744974,3.30312473
1.650439978,-8.569827891,-0.3103376,1.439726931,-0.01605235,0.011239852,-0.004621978,0.064827898,-0.067880845,-1.520268068,0.057308388,-0.040988066,0.029775123,-0.010559448,-0.006703892,-0.048023484,0.059344778,3.354087325
1.658111811,-8.569915906,-0.310238316,1.439688824,-0.010561788,0.011914152,-0.004572829,0.065125089,-0.068237427,-1.519993384,0.035662954,-0.042789811,0.032962085,-0.007738875,-0.005541589,-0.031226205,0.05908456,3.422758987
1.666650772,-8.570002096,-0.310135729,1.439619321,-0.01034281,0.012310348,-0.008340434,0.065077275,-0.06855797,-1.519688459,-0.005737751,-0.038465192,0.036590985,-0.010410895,-0.00654424,-0.027196535,0.058857922,3.444727847
1.674613953,-8.57005519,-0.310029396,1.439532264,-0.006371282,0.012759959,-0.010446791,0.064742399,-0.068897672,-1.519333955,-0.040185059,-0.040764183,0.042540475,-0.011769623,-0.004412816,-0.018569768,0.058703174,3.490503594
1.683385849,-8.570080672,-0.309935894,1.439431004,-0.003057817,0.011220316,-0.012151176,0.064334693,-0.069181595,-1.519035516,-0.048924691,-0.034070826,0.035812774,-0.011877017,-0.006158861,-0.015334543,0.058575386,3.502784197
1.69135499,-8.570132662,-0.309834876,1.439311197,-0.006238774,0.012122096,-0.014376891,0.063686669,-0.069490248,-1.518697792,-0.077762936,-0.037038363,0.040526891,-0.013165278,-0.003474152,0.003473558,0.058604333,3.618131385
1.699850798,-8.570172767,-0.309735229,1.439183037,-0.004812646,0.011957688,-0.015379158,0.063095795,-0.069780513,-1.518423206,-0.070904869,-0.034831803,0.032950269,-0.013802776,-0.002208955,0.00875569,0.058677297,3.65544015
1.708208799,-8.570202928,-0.309640685,1.439059012,-0.003619294,0.011345277,-0.014883069,0.062444356,-0.069974918,-1.518167133,-0.07817268,-0.023328574,0.03072875,-0.012993162,-0.001820505,0.023771736,0.058875394,3.750708317
1.716627836,-8.570267139,-0.309565403,1.438954732,-0.007705344,0.009033882,-0.012513527,0.062062015,-0.070150098,-1.517919683,-0.045880931,-0.021021558,0.029694033,-0.01310196,-0.002630094,0.022245126,0.059060771,3.753883168
1.724891901,-8.570313709,-0.309476447,1.438860476,-0.005588408,0.010674635,-0.011310766,0.061573009,-0.070190441,-1.517760136,-0.058680686,-0.004841188,0.019145655,-0.013974337,0.000181163,0.028345251,0.059296981,3.806158923
1.73307991,-8.570372319,-0.30939277,1.438784192,-0.007033149,0.010041258,-0.00915402,0.061337905,-0.070147328,-1.517566353,-0.028212542,0.005173594,0.023253972,-0.012093832,-0.003960745,0.017721598,0.059444661,3.74693939
1.741517782,-8.570451036,-0.309313673,1.438707435,-0.009446009,0.009491676,-0.009210894,0.061006335,-0.070090061,-1.517393463,-0.039788359,0.006871963,0.02074674,-0.013530994,-0.003023795,0.010087629,0.059528724,3.713715606
1.750204802,-8.570525414,-0.309232943,1.438627415,-0.00892541,0.00968759,-0.00960235,0.060805826,-0.070036,-1.51726737,-0.024061113,0.006487421,0.015131209,-0.012496075,-0.004474241,0.006435591,0.059582354,3.691819695
1.758342981,-8.570606058,-0.309157774,1.438548473,-0.00967731,0.009020253,-0.009473129,0.060650006,-0.069991359,-1.517058017,-0.018698377,0.005356832,0.025122367,-0.009988757,-0.005546571,-0.009828295,0.059500452,3.581919369
1.766780853,-8.570709767,-0.309106282,1.438484571,-0.01244498,0.006179075,-0.007668145,0.060548092,-0.069988718,-1.516940797,-0.012229658,0.000316902,0.014066368,-0.012784956,-0.00431538,-0.011021757,0.059408604,3.581318343
1.774948835,-8.570813669,-0.309029853,1.438408407,-0.012468307,0.00917147,-0.009139713,0.060552648,-0.069969787,-1.516746657,0.000546664,0.002271752,0.023296769,-0.010108756,-0.003622601,-0.002471483,0.059388008,3.61748247
1.783576965,-8.570923067,-0.308968169,1.43835816,-0.013127701,0.007402029,-0.006029654,0.060639707,-0.069993505,-1.516513061,0.010447077,-0.002846201,0.028031493,-0.008455433,-0.003761435,-0.022625342,0.059199464,3.481969242
1.792257786,-8.571062032,-0.308911749,1.438303364,-0.016675794,0.006770423,-0.006575469,0.060785708,-0.069993356,-1.516276988,0.017520175,1.80E-05,0.028328847,-0.008491688,-0.003594468,-0.012161871,0.059098115,3.536609311
1.800288916,-8.571184932,-0.308843714,1.43826533,-0.014748077,0.008164165,-0.004564176,0.060937469,-0.069940198,-1.516023257,0.018211286,0.006378918,0.030447679,-0.006748069,-0.002344656,-0.012927805,0.058990383,3.517387488
1.808383942,-8.571311157,-0.308778785,1.438221681,-0.01514703,0.007791565,-0.005237774,0.061226059,-0.069930203,-1.515741008,0.03463077,0.00119944,0.033869872,-0.006317318,-0.004526352,-0.018275446,0.058838088,3.476225389
1.816405773,-8.571463665,-0.308737863,1.438192893,-0.018300871,0.004910604,-0.003454631,0.061445398,-0.069903706,-1.515451209,0.026320765,0.003179637,0.034775916,-0.005934561,-0.003029114,-0.007388604,0.058776516,3.533284302
1.824781895,-8.571586483,-0.30867445,1.438124114,-0.014738148,0.00760961,-0.00825341,0.061571388,-0.069892223,-1.515188416,0.015118751,0.001377931,0.031535105,-0.003586742,-0.003922102,-0.016598189,0.058638198,3.461510435
1.8334589,-8.571699239,-0.308613725,1.43806945,-0.013530769,0.007286916,-0.006559787,0.061607068,-0.069784829,-1.514928763,0.004281656,0.012887329,0.031158408,-0.001813484,-0.004835252,-0.011502706,0.058542342,3.477802449
1.841460943,-8.571824394,-0.308561225,1.438009358,-0.015018657,0.006300069,-0.007210969,0.06156064,-0.069654658,-1.51468071,-0.005571424,0.015620491,0.029766283,-0.001347366,-0.004869292,-0.018802941,0.058385651,3.423961134
1.850078821,-8.571914435,-0.308496316,1.437943779,-0.010804899,0.007789095,-0.007869525,0.061352219,-0.069480882,-1.514460216,-0.025010472,0.020853127,0.026459346,0.002224747,-0.00340418,-0.024400253,0.058182315,3.362750971
1.859694004,-8.571995284,-0.308420724,1.437883661,-0.00970182,0.009070983,-0.007214144,0.061075436,-0.069267913,-1.514251697,-0.033214002,0.025556202,0.025022258,0.004718197,-0.005536755,-0.026397614,0.057962335,3.327759787
1.867157936,-8.572075496,-0.308342543,1.437828244,-0.009625481,0.009381667,-0.006650045,0.060648335,-0.069119484,-1.514071866,-0.051252141,0.017811511,0.021579765,0.001952026,-0.006446261,-0.04941332,0.057550558,3.182110148
1.87509799,-8.572149558,-0.308233689,1.437762152,-0.008887416,0.013062515,-0.007931079,0.060240092,-0.0689948,-1.513802029,-0.048989115,0.014962036,0.032380353,0.004494861,-0.004169204,-0.036416544,0.057247086,3.226880218
1.883799791,-8.57221882,-0.308133587,1.437713382,-0.008311492,0.012012307,-0.005852375,0.059744974,-0.06887363,-1.513615653,-0.059414155,0.01454044,0.022365193,0.004355655,-0.007416707,-0.053018514,0.056805265,3.105974058
1.89179492,-8.572303348,-0.3080303,1.437652395,-0.010143252,0.012394416,-0.007318371,0.059344778,-0.068826021,-1.513313987,-0.048023484,0.005713076,0.036199909,0.002557765,-0.005950586,-0.038333597,0.056485819,3.179170954
1.900566816,-8.572364999,-0.30793487,1.437602488,-0.007398139,0.01145163,-0.005988901,0.05908456,-0.068775066,-1.513083566,-0.031226205,0.00611457,0.027650564,0.003007233,-0.006223722,-0.027677387,0.056255174,3.225160264
1.908372879,-8.572448398,-0.307830564,1.437542944,-0.010007909,0.012516671,-0.007145318,0.058857922,-0.068734762,-1.51283744,-0.027196535,0.004836519,0.029535062,0.002568203,-0.005591551,-0.02009427,0.056087722,3.260691867
1.916469812,-8.572544152,-0.307754592,1.437500479,-0.011490452,0.009116651,-0.005095732,0.058703174,-0.068759347,-1.512561022,-0.018569768,-0.002950139,0.033170196,-0.000441327,-0.003982467,-0.008282701,0.056018699,3.337657879
1.925032854,-8.572639952,-0.307667108,1.437443449,-0.011496096,0.010498067,-0.006843601,0.058575386,-0.068743067,-1.512312816,-0.015334543,0.001953516,0.029784708,0.00068747,-0.003582628,0.000680385,0.056024369,3.384791166
1.933523893,-8.572747779,-0.307554796,1.437408122,-0.012939193,0.013477456,-0.004239288,0.058604333,-0.068647289,-1.512092148,0.003473558,0.011493374,0.026480163,0.001674913,-0.000999173,0.015559734,0.056154033,3.473390789
1.941676855,-8.572861525,-0.307456049,1.437383,-0.01364948,0.011849628,-0.003014598,0.058677297,-0.068547974,-1.511925334,0.00875569,0.01191788,0.020017598,-0.001284222,-0.002080765,0.01545872,0.056282856,3.494176267
1.949884892,-8.572968721,-0.307353487,1.437361484,-0.012863529,0.012307382,-0.002581887,0.058875394,-0.068484934,-1.511788405,0.023771736,0.00756471,0.016431484,0.001533241,0.000368687,0.037091618,0.056591953,3.624710781
1.958207846,-8.57307642,-0.307232436,1.43733316,-0.01292387,0.014526231,-0.00339887,0.059060771,-0.068391002,-1.511740663,0.022245126,0.01127185,0.005729081,0.001032271,-0.00186622,0.027574866,0.056821743,3.58659737
1.967193842,-8.573192757,-0.307119676,1.437327766,-0.013960513,0.01353114,-0.000647306,0.059296981,-0.068265064,-1.511654203,0.028345251,0.015112557,0.010375245,-0.000348661,-0.000605298,0.038124274,0.057139446,3.672521793
1.974873781,-8.5732914,-0.307003303,1.437288831,-0.011837164,0.013964754,-0.00467224,0.059444661,-0.068245786,-1.511488849,0.017721598,0.002313376,0.019842491,0.002621234,-0.001997256,0.047407487,0.057534508,3.737635431
1.983612776,-8.57340246,-0.306890368,1.437256969,-0.01332713,0.01355215,-0.003823446,0.059528724,-0.068200888,-1.511259305,0.010087629,0.005387758,0.027545274,0.00360949,-0.001971846,0.036376715,0.057837647,3.687582962
1.991793871,-8.573504189,-0.306778548,1.437213549,-0.012207473,0.013418478,-0.005210406,0.059582354,-0.068275031,-1.510964141,0.006435591,-0.008897135,0.035419637,0.002777424,-0.002093594,0.014284807,0.057956687,3.570416447
2.000449896,-8.573584532,-0.306669905,1.437162459,-0.009641252,0.013037097,-0.006130741,0.059500452,-0.068408474,-1.510616396,-0.009828295,-0.016013144,0.041729427,0.007466805,-0.002080334,0.011979122,0.058056513,3.542272333
2.008390903,-8.573688751,-0.306536073,1.437120235,-0.012506181,0.016059861,-0.005066856,0.059408604,-0.068600885,-1.510155834,-0.011021757,-0.023089407,0.055267397,0.008479019,-0.002275265,-0.002354155,0.058036896,3.453574861
2.016939878,-8.57377105,-0.306416099,1.4370851,-0.009875922,0.014396845,-0.004216201,0.059388008,-0.068806639,-1.509750301,-0.002471483,-0.024690485,0.048663924,0.00802893,-0.000576731,0.005833674,0.058085509,3.505241952
2.0256598,-8.573839534,-0.306310916,1.437049641,-0.008218076,0.012622021,-0.00425511,0.059199464,-0.069056671,-1.509332731,-0.022625342,-0.030003727,0.050108422,0.011332541,-0.005541155,-0.02880301,0.057845484,3.277427247
2.033502817,-8.573908405,-0.306210214,1.43701556,-0.008264561,0.012084238,-0.004089744,0.059098115,-0.069221426,-1.508971703,-0.012161871,-0.019770614,0.043323406,0.011353689,-0.001797851,-0.011439211,0.057750158,3.370629412
2.041621923,-8.573963389,-0.306132906,1.43699274,-0.006598099,0.009276913,-0.002738418,0.058990383,-0.069428223,-1.508606371,-0.012927805,-0.024815635,0.043839846,0.010763916,-0.005637232,-0.024877874,0.057542842,3.284478705
2.050058842,-8.574013725,-0.306063482,1.43695199,-0.006040218,0.008330942,-0.004890003,0.058838088,-0.06954271,-1.50826492,-0.018275446,-0.013738426,0.040974106,0.015774143,-0.00598455,-0.032148297,0.05727494,3.204080832
2.058468819,-8.574061611,-0.306027362,1.436923886,-0.005746375,0.004334367,-0.003372496,0.058776516,-0.069590252,-1.50807767,-0.007388604,-0.005705121,0.022469997,0.012443344,-0.00508361,-0.03480464,0.056984901,3.185546853
