Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
0,-7.714551165,-0.051180516,1.519772912,0,0,0,0,0
0.008401871,-7.714443265,-0.051139295,1.51971679,-0.061521741,-0.109693075,0.037905648,0.03443885,3.591963164
0.016439915,-7.714315344,-0.051242159,1.51978874,-0.069274257,-0.125689482,0.123920654,0.035471522,4.323032837
0.025135994,-7.714218804,-0.051367477,1.519865448,-0.066673901,-0.136003838,0.111860228,0.036403691,4.307095327
0.03333807,-7.714173966,-0.051275784,1.519780114,-0.061993177,-0.132818213,0.034116688,0.036687996,3.768331565
0.041697025,-7.714149115,-0.051216105,1.51972602,-0.035925912,-0.044881692,-0.02380013,0.036489662,3.15314419
0.050039053,-7.714142111,-0.051224985,1.519726631,-0.039661366,-0.078749238,-0.200583007,0.034818137,1.841349804
0.058444977,-7.714197277,-0.050921363,1.51949502,-0.021240613,-0.028952656,-0.355411918,0.031856371,0.395360512
0.066847086,-7.714239222,-0.050724763,1.519356341,-0.011111968,-0.003839636,-0.441049232,0.028180961,-0.574415649
0.076006889,-7.714243377,-0.05081645,1.519441409,-0.001219665,0.020392494,-0.47636202,0.024211277,-1.222806959
0.083324909,-7.714269293,-0.050786346,1.519442808,0.003599754,0.016937145,-0.605468398,0.019165707,-2.559410758
0.091868877,-7.714313434,-0.050719497,1.519386883,0.003493459,0.000969809,-0.66589536,0.013616579,-3.432106021
0.099951029,-7.714369825,-0.050727718,1.519393896,0.002077041,-0.000921593,-0.784825661,0.007076365,-4.786311173
0.108444929,-7.71441699,-0.050821653,1.519459291,0.016395615,0.083870322,-0.842342745,5.68E-05,-5.89744874
0.116711855,-7.714519428,-0.050648413,1.519326561,0.001481798,0.018635436,-0.830167122,-0.006861217,-6.274040744
0.125355005,-7.714673172,-0.050321788,1.519070571,0.000301727,0.02839638,-0.851117308,-0.013953861,-7.010997443
0.133255005,-7.714814743,-0.050066151,1.518889705,0.009357378,0.075987044,-0.831403518,-0.020882224,-7.536810347
0.141717911,-7.714933861,-0.04993513,1.518796755,0.001489009,0.055336728,-0.84455714,-0.0279202,-8.160510716
0.150062084,-7.715009551,-0.050076884,1.518921082,-0.005411825,0.053901618,-0.856187445,-0.035055095,-8.796399179
0.158587933,-7.715111083,-0.050070126,1.518921675,-0.007136528,0.128661699,-0.896531915,-0.042526195,-9.722756784
0.166542053,-7.715157168,-0.050332225,1.519125562,-0.031930914,0.044185516,-0.79323697,-0.049136503,-9.379557329
0.174825907,-7.715241549,-0.050534067,1.51929734,-0.019293059,0.210922277,-0.69811596,-0.054954136,-9.370456641
0.183147907,-7.715410956,-0.050330787,1.519124388,-0.046188474,0.123959139,-0.637643511,-0.060267832,-9.19680729
0.191972017,-7.715599017,-0.050199835,1.519005967,-0.06240726,0.135212101,-0.537087705,-0.064743563,-8.788368301
0.20025897,-7.715698949,-0.050599105,1.519325838,-0.066948866,0.221410138,-0.480612609,-0.068748668,-8.747986673
0.208344936,-7.715846619,-0.050746588,1.519458462,-0.078003511,0.218879905,-0.30469897,-0.071287826,-7.687550045
0.216523886,-7.716007514,-0.050682154,1.519420517,-0.090916279,0.231634419,-0.212648201,-0.073059894,-7.131248707
0.225280046,-7.716178635,-0.050551429,1.519316883,-0.110136705,0.170964419,-0.056105998,-0.073527444,-5.95233133
0.233349085,-7.716316826,-0.050576396,1.519343915,-0.160254614,-0.061394209,0.031520177,-0.073264776,-4.914292713
0.241910934,-7.716398283,-0.050751217,1.519453198,-0.117002388,0.33340663,0.063568088,-0.072735042,-5.094493255
0.433281898,-7.725550355,-0.010611066,1.485708669,-0.137144118,0.264662651,0.121398691,-0.071723386,-4.457094443
0.791575909,-7.725749375,-0.007511111,1.478672169,-0.124531079,0.432261387,0.191197618,-0.070130073,-3.997853304
1.291809082,-7.708140534,-0.072838307,1.4673623,-0.177380231,0.191600993,0.173695613,-0.068682609,-3.558517215
1.299911976,-7.708616198,-0.072708489,1.466237277,-0.178809682,0.312326733,0.118942455,-0.067691422,-3.893263883
1.308678865,-7.708901737,-0.073089462,1.46585259,-0.261882777,-0.121425398,0.192998104,-0.066083105,-2.539813721
1.317312002,-7.709209203,-0.072955656,1.465185239,-0.164069473,0.593734663,0.230895103,-0.064158979,-3.045417133
1.325197935,-7.709378434,-0.073164832,1.464938451,-0.227956928,0.291118369,0.231874846,-0.062226688,-2.342428327
1.333539963,-7.709470095,-0.073370693,1.464903858,-0.24827882,0.205274571,0.26915174,-0.059983757,-1.733455176
1.341764927,-7.70948437,-0.07361054,1.465073499,-0.257434607,0.250857743,0.315322026,-0.057356074,-1.158742896
