Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
0,-8.304909709,0.366463673,1.291677783,-0.022618334,0.00063723,-0.166951293,-0.078862789,-5.629159977
0.008544922,-8.305300291,0.362898321,1.290800422,0.006002694,0.080015301,-0.170478913,-0.080283447,-5.896873526
0.0173769,-8.30579584,0.359735243,1.289585621,-0.019305552,0.014398425,-0.099511534,-0.08111271,-5.394638717
0.025145054,-8.306605515,0.357565547,1.287600694,0.031196257,0.120748673,-0.049015041,-0.081521168,-5.396772965
0.033574104,-8.306994544,0.354081646,1.286688735,-0.014741388,0.023454606,-0.053253731,-0.081964949,-5.202056636
0.042460918,-8.307685944,0.351712669,1.284964844,0.007721782,0.071545282,-0.064013901,-0.082498398,-5.417211633
0.051071882,-8.307889204,0.34795445,1.284394062,0.006175464,0.053571542,-0.040771151,-0.082838158,-5.288270517
0.059071064,-8.308385956,0.34506571,1.283219602,0.008898783,0.084780407,-0.057242204,-0.083315176,-5.438240909
0.068660021,-8.309016428,0.342641879,1.281786507,-0.014578502,0.013776501,-0.011074835,-0.083407467,-5.041085869
0.075012922,-8.309490891,0.339678237,1.280949462,0.013653478,0.095418024,-0.032399943,-0.083677466,-5.341787317
0.083553076,-8.310076927,0.337003146,1.280006514,-0.012658186,0.047187066,0.017135051,-0.083534674,-4.908259972
0.095468998,-8.310473641,0.333830525,1.279713649,0.003325325,0.095200688,-0.025841385,-0.083750019,-5.26224198
0.10007,-8.311339633,0.331979072,1.278615874,-0.004727637,0.090439501,0.110316326,-0.082830716,-4.379467922
0.108616114,-8.31188821,0.329202813,1.278464439,-0.025519414,0.055350282,0.075617537,-0.08220057,-4.435134826
0.116807938,-8.312721797,0.327362062,1.277805171,-0.02667662,0.071113318,0.180623809,-0.080695372,-3.737132947
0.125241041,-8.313362343,0.324988055,1.277816306,-0.016563134,0.089393913,0.257499876,-0.078549539,-3.21464098
0.133260012,-8.314246693,0.323289429,1.277515263,-0.00141651,0.144607177,0.240423904,-0.076546007,-3.283907896
0.141536951,-8.314911306,0.321207652,1.277751937,-0.042854682,0.026232495,0.249866774,-0.074463784,-2.868134246
0.150486946,-8.315573488,0.319004806,1.278315722,-0.031246869,0.052010689,0.228082757,-0.072563094,-2.942397879
0.158427954,-8.316285954,0.317206982,1.278827145,-0.030138974,0.061885249,0.200994142,-0.070888143,-3.007558621
0.166445971,-8.317164529,0.316018217,1.279084689,0.004853885,0.120025317,0.139092086,-0.069729042,-3.477009035
0.175062895,-8.318034223,0.314692251,1.279685914,-0.011600006,0.069621662,0.105232466,-0.068852105,-3.525479311
0.18306303,-8.318938964,0.313452057,1.280415993,-0.0236091,0.048785832,0.05992378,-0.06835274,-3.695716655
0.191534042,-8.319624012,0.311786604,1.281653052,-0.03170005,0.017651691,0.082553317,-0.067664796,-3.473531922
0.199739933,-8.320375011,0.310233686,1.282982287,-0.015942909,0.053117005,0.048698516,-0.067258975,-3.730654262
0.208924055,-8.321338614,0.309346796,1.283947105,-0.008024257,0.097530497,0.098852628,-0.066435203,-3.444567362
0.216675997,-8.322214123,0.308411105,1.285105459,-0.01166203,0.083541424,0.079802654,-0.065770181,-3.492652437
0.225074053,-8.323154802,0.307451193,1.286478084,-0.019445508,0.063613898,0.143397219,-0.064575204,-3.008571436
0.233237028,-8.324176269,0.306772667,1.287820054,-0.059952524,-0.013538731,0.17447069,-0.063121282,-2.527387931
0.241590023,-8.325055691,0.305723338,1.289576223,0.002397308,0.128403197,0.17092769,-0.061696884,-2.800247613
1.508903027,-8.361087989,0.346398697,1.416762832,-0.019450874,0.094452121,0.205920377,-0.059980881,-2.382074939
1.517036915,-8.361139208,0.346108669,1.417463892,-0.072237965,-0.025862444,0.180199507,-0.058479219,-2.154068599
1.525377035,-8.361266707,0.34600606,1.41800336,-0.021094165,0.077714323,0.251214903,-0.056385761,-1.887819655
1.534106016,-8.361772434,0.346716825,1.417922277,-0.020089691,0.080258102,0.191734394,-0.054787974,-2.14180719
1.542458057,-8.361686519,0.345802615,1.418989036,-0.046132225,0.045311779,0.204577789,-0.053083159,-1.833704912
1.550180912,-8.361801135,0.345322012,1.419784438,-0.019611584,0.093647922,0.197174686,-0.051440037,-1.916089837
1.559118986,-8.362414685,0.346086455,1.419604469,-0.028879482,0.063609279,0.206977672,-0.049715223,-1.700936874
1.567097902,-8.362553693,0.345721675,1.420260966,-0.060786864,0.005422494,0.250476359,-0.04762792,-1.155864404
1.575311899,-8.362684231,0.345243909,1.420937948,-0.021738441,0.080482112,0.252295534,-0.045525457,-1.224237499
1.583390951,-8.36304809,0.345174654,1.421335411,-0.005285788,0.117175642,0.237914086,-0.04354284,-1.276870818
1.59168005,-8.363171178,0.34459643,1.422123182,-0.028429532,0.071618261,0.231534847,-0.041613383,-1.074900229
1.600086927,-8.363385201,0.344312743,1.422664564,-0.066123392,-0.031229344,0.22671581,-0.039724085,-0.776835335
1.609028101,-8.363889032,0.344691267,1.422733817,-0.013145149,0.093352211,0.215098594,-0.037931596,-1.025169748
1.617398977,-8.364039476,0.344202812,1.423412051,-0.023669378,0.073051362,0.201149885,-0.036255347,-0.949337867
1.625329971,-8.364040978,0.343331646,1.424389506,-0.03533823,0.033847511,0.198077534,-0.034604701,-0.79867963
1.633269072,-8.364252857,0.342926894,1.424995664,-0.051703718,-0.003349193,0.182504116,-0.033083833,-0.708387665
1.642129898,-8.364813786,0.343636449,1.424757508,-0.007526848,0.088249552,0.158015755,-0.031767035,-1.006678219
1.650007963,-8.364893749,0.342956444,1.425539038,-0.010065585,0.069697702,0.140534511,-0.030595915,-1.017999839
1.65844512,-8.365068798,0.342465066,1.426154549,-0.007942025,0.075744497,0.132022359,-0.029495728,-1.012985461
1.666898966,-8.365353348,0.342477268,1.426446631,-0.043864675,-0.004822607,0.119236188,-0.028502093,-0.832746938
1.674993038,-8.3657849,0.342924995,1.426432989,-0.022433589,0.030200025,0.12724455,-0.027441722,-0.832585281
1.683374882,-8.365824234,0.34227643,1.427170023,-0.030582537,0.009030993,0.132468987,-0.026337814,-0.690290395
1.692008018,-8.365890307,0.341863755,1.427753131,-0.032420484,0.012799081,0.117376273,-0.025359678,-0.712240495
1.700299025,-8.365937846,0.341356357,1.428386012,0.003235165,0.09309193,0.097556281,-0.024546709,-0.971167606
1.708745956,-8.366304382,0.34172292,1.428356258,-0.015348822,0.057195976,0.108119521,-0.023645713,-0.757477887
1.716836929,-8.366484353,0.341702834,1.428612959,-0.037825839,0.001979325,0.065290469,-0.023101626,-0.849244391
1.725048065,-8.366737137,0.341894459,1.428694903,-0.027691605,0.011984026,0.049339534,-0.022690463,-0.966209016
1.733427048,-8.367004516,0.34205219,1.428808378,-0.007908514,0.050905804,0.011455982,-0.022594997,-1.284787254
1.741909027,-8.366958524,0.341357738,1.429583249,-0.01719444,0.023931998,-0.006954511,-0.022652951,-1.342110347
1.750442982,-8.367075126,0.341112152,1.430062773,-0.003270348,0.039969561,-0.015336247,-0.022780753,-1.467158784
1.758394957,-8.367389876,0.341434961,1.430086544,-0.002629695,0.049921308,-0.064791174,-0.023320679,-1.79368622
1.767456055,-8.367618314,0.341657243,1.430191621,-0.022786455,0.005582129,-0.052593455,-0.023758958,-1.640723349
1.775737047,-8.367674618,0.341445316,1.430617217,-0.019043462,0.002509996,-0.033610449,-0.024039045,-1.562824407
1.783471107,-8.36781335,0.341487351,1.430819845,-0.005448517,0.043523529,-0.0532198,-0.024482544,-1.781449749
1.791699886,-8.367833009,0.341314369,1.431153459,-0.01068969,0.024718545,-0.03143686,-0.024744518,-1.639529464
1.800014973,-8.367845216,0.341050441,1.431569868,-0.006447415,0.028204804,-0.044369505,-0.025114263,-1.757171019
1.808429003,-8.368033945,0.341292652,1.431620883,-0.011468178,0.021296974,-0.07403596,-0.02573123,-1.941161297
1.816935062,-8.368192092,0.34156102,1.431645608,-0.002018253,0.027935173,-0.105083736,-0.026606928,-2.218852868
1.825128078,-8.368228604,0.341357759,1.432009307,0.012852703,0.048550408,-0.103907812,-0.027472826,-2.339235964
1.833549023,-8.368312561,0.341394181,1.432217436,-0.00285869,0.00747398,-0.117897497,-0.028455305,-2.392105742
1.841986895,-8.36836037,0.341354279,1.432453751,0.007856604,0.016672355,-0.135659638,-0.029585802,-2.614872008
1.850267887,-8.36845134,0.34136704,1.432633626,0.017691045,0.023014896,-0.212956415,-0.031360439,-3.216578401
1.858823061,-8.36846196,0.341257451,1.432866784,0.004211681,-0.005614792,-0.223175753,-0.033220237,-3.315870707
1.866923094,-8.368343781,0.340884776,1.433268276,-0.00070728,-0.031430949,-0.210372547,-0.034973341,-3.314417196
1.875119925,-8.368365821,0.340959533,1.433331212,0.038543688,0.038548388,-0.414096169,-0.038424143,-4.908546662
1.883368015,-8.368296268,0.340910028,1.433468151,-0.029013267,-0.082562938,-0.122218388,-0.039442629,-2.925298717
1.891657114,-8.368142902,0.340770874,1.433655225,0.00592802,0.003813431,-0.121295983,-0.040453429,-3.173541184
1.900166988,-8.368109378,0.340942898,1.433607295,0.006620844,0.020301603,-0.010578426,-0.040541583,-2.547138194
1.930392981,-8.368124427,0.3414011,1.433345736,0.014557576,0.031003313,0.054188254,-0.040090014,-2.184194069
1.933403969,-8.368059846,0.342273313,1.432976442,0.009521241,0.018421862,0.131638517,-0.038993026,-1.641070537
1.941618919,-8.368009201,0.34238701,1.433006196,0.004240379,0.025086941,0.171627499,-0.037562797,-1.302337797
1.950052977,-8.367947216,0.342333188,1.433173001,0.001068636,0.019087663,0.1891028,-0.035986941,-1.089193602
1.958389997,-8.367815645,0.342133439,1.433426292,0.005562594,0.024509511,0.22873128,-0.034080847,-0.766628963
1.966603994,-8.367730377,0.342072793,1.433576598,0.001912233,0.030506513,0.259638343,-0.031917194,-0.443217401
1.975033998,-8.367687215,0.341931229,1.433784181,-0.003800783,0.019758722,0.244053368,-0.029883416,-0.380784305
1.983228922,-8.367672592,0.341887706,1.433942822,0.011190011,0.052912624,0.294610939,-0.027428324,-0.020330903
1.992146015,-8.367619305,0.3417722,1.43414537,-0.024572757,-0.011359516,0.283395981,-0.025066691,0.243802963
1.999973059,-8.367595265,0.341568939,1.434398953,0.003889537,0.047207349,0.317953266,-0.022417081,0.452417015
2.008532047,-8.367622004,0.341491278,1.434564482,0.006090398,0.040589127,0.284630606,-0.020045159,0.395521887
2.01678896,-8.367516697,0.341057953,1.435002697,-0.026330531,-0.015975905,0.265201243,-0.017835149,0.584695963
2.025109053,-8.367723778,0.341300022,1.434913196,-0.013470741,-0.007507264,0.259287601,-0.015674419,0.62013863
2.033468008,-8.367682555,0.340945031,1.435305766,0.001091964,0.018540152,0.246305796,-0.01362187,0.592859976
2.042464972,-8.367625032,0.340598582,1.435642923,-0.020656659,-0.02462043,0.22663239,-0.011733267,0.708049499
2.050175905,-8.367846793,0.340897027,1.435513725,0.007544185,0.021451772,0.148902348,-0.010492414,0.187134168
2.058254004,-8.367960016,0.341095497,1.435452932,0.003919697,0.004534113,0.105518016,-0.009613097,0.012104234
2.066646099,-8.367948812,0.340976952,1.435607295,0.006623228,0.016813293,0.066415834,-0.009059632,-0.198545391
2.075176001,-8.368123347,0.34130834,1.435404158,0.025583212,0.036396169,0.040560987,-0.008721624,-0.420663016
2.083189964,-8.368058606,0.341117047,1.435582253,0.03155833,0.043261909,0.019796865,-0.00855665,-0.560587899
2.091691971,-8.36802558,0.341075034,1.435619722,0.064711616,0.031047305,-0.162240216,-0.009908652,-1.83942914
2.100191116,-8.36796912,0.34089299,1.435759327,-0.003675274,-0.043413175,-0.053240729,-0.010352325,-0.898500941
2.108431101,-8.367753289,0.340469352,1.436060757,0.0098283,-0.015194916,-0.049394909,-0.010763949,-0.973224199
2.151916027,-8.367487228,0.339955452,1.43641901,0.014977737,0.005305835,-0.048674701,-0.011169571,-1.025299845
2.152196884,-8.366945427,0.339383979,1.436672381,0.016000089,0.002510358,0.020901657,-0.010995391,-0.614673772
2.158648014,-8.366979798,0.339820762,1.436310941,0.028315212,0.023845247,0.054593025,-0.010540449,-0.455758025
2.167615891,-8.366899263,0.339903161,1.436183443,0.010925836,-0.006641657,0.046172861,-0.010155675,-0.390959148
2.175821066,-8.366773963,0.339758337,1.436226261,0.037541952,0.040419159,0.062029359,-0.009638764,-0.40633748
2.183753014,-8.366640407,0.339690871,1.436245714,0.027957158,0.020866329,0.054840648,-0.009181758,-0.369409571
2.191914082,-8.366402365,0.339376436,1.436441926,0.031587955,0.025488227,0.047706491,-0.008784204,-0.404888498
2.20074892,-8.366311883,0.339410098,1.436385657,0.027982116,0.013815906,0.059511566,-0.008288275,-0.285424718
2.209052086,-8.365995802,0.338926201,1.436719452,0.001341388,-0.039617792,0.077502445,-0.007642421,-0.000704712
2.216752052,-8.365761239,0.338645868,1.436891192,0.029972281,0.015519721,0.06865781,-0.007070272,-0.168425533
2.225240946,-8.36549615,0.33826464,1.437101273,0.023617857,-0.00573669,0.046116853,-0.006685965,-0.238487918
2.233829975,-8.36526202,0.338037676,1.437214469,0.050579375,0.058930344,0.018106763,-0.006535076,-0.539515334
2.242034912,-8.365253365,0.338423195,1.436884245,0.023284603,0.010345852,0.038557224,-0.006213765,-0.259338472
2.250104904,-8.365002688,0.338130125,1.437011807,0.034707122,0.026460867,0.053026741,-0.005771876,-0.206434018
2.258958101,-8.364806196,0.338065041,1.436962687,0.020508352,0.012976412,0.090145999,-0.005020659,0.122987639
2.266819,-8.364381501,0.33726406,1.437451008,0.000464786,-0.025877282,0.091168969,-0.004260918,0.280592525
2.275424004,-8.364186931,0.337007417,1.437536016,0.017491916,0.005260642,0.112522078,-0.003323234,0.371946304
2.283564091,-8.363896437,0.336586895,1.43775485,0.004710585,-0.009411813,0.117397011,-0.002344925,0.522346148
2.291799068,-8.363724993,0.336352191,1.437862127,0.019163296,0.02216559,0.109555477,-0.001431963,0.454152541
2.300198078,-8.363722039,0.336565002,1.437646469,0.021430614,0.020507224,0.125067681,-0.000389732,0.597686875
2.308872938,-8.363576128,0.336387577,1.437689823,-0.01567927,-0.045623223,0.118362649,0.000596623,0.811724987
2.317217112,-8.363537057,0.33641668,1.437611299,0.006442206,-0.000740077,0.08182508,0.001278499,0.523388348
2.325586081,-8.363377099,0.336083148,1.437795784,0.031908297,0.039528543,0.048150531,0.001679753,0.221887667
2.333434105,-8.363198444,0.335790689,1.437966608,0.007349746,0.002761736,0.030165711,0.001931134,0.257701878
2.341895103,-8.363328877,0.33627062,1.437586336,-0.005804705,-0.030720036,0.017153237,0.002074078,0.263796622
2.350277901,-8.363275185,0.336235877,1.437580237,0.024035899,0.018207879,-0.021788238,0.001892509,-0.126600265
