time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,u,w,q,theta,elevAngle
0,-8.464860582,0.317735545,1.440044275,-1015.78327,38.12826536,172.805313,-0.029958895,-0.103993258,-1.422167958,-3.595067394,-12.47919095,-170.660155,0.02516135,0.043047377,-0.020940021,-0.001011833,-0.312831943
0.008177996,-8.459661247,0.304469306,1.450110699,0.623920226,-1.591948605,1.207970866,-0.023243744,-0.097434818,-1.432314562,0.805818123,0.787012827,-1.21759243,-0.032368561,-0.065233056,-0.024016133,-0.001211968,-0.040472894
0.016533136,-8.459290866,0.304289122,1.450492254,0.044445757,-0.021622171,0.045786634,-0.024676895,-0.094414443,-1.428928616,-0.171978155,0.362444927,0.406313543,-0.011371155,-0.024723092,-0.034057976,-0.001495784,-0.226590602
0.025881052,-8.459180473,0.304699566,1.450464724,0.013247137,0.049253354,-0.003303664,-0.025849851,-0.091244541,-1.425799548,-0.140754724,0.380388288,0.375488166,-0.008596399,-0.015019358,-0.017496836,-0.001641591,-0.155897005
0.034114122,-8.458542625,0.303674731,1.451459332,0.076541787,-0.122980268,0.119352956,-0.026947679,-0.088321235,-1.423043733,-0.131739384,0.350796685,0.330697774,0.009891649,0.01998709,0.005695691,-0.001594127,-0.115785793
0.04173708,-8.458943676,0.305375365,1.450409265,-0.048126157,0.204076101,-0.126007932,-0.028656403,-0.085125422,-1.420058205,-0.205046774,0.383497571,0.358263346,-0.019598002,-0.038027422,0.02059615,-0.001422493,0.137013905
0.049957991,-8.458676026,0.305226887,1.450804527,0.032118035,-0.017817353,0.047431379,-0.029372158,-0.082087651,-1.418015396,-0.085890698,0.364532578,0.245137135,-0.001824363,-0.015389682,-0.050814301,-0.001845945,-0.391290769
0.058202982,-8.458991613,0.306563868,1.450069017,-0.037870444,0.160437756,-0.088261232,-0.030307322,-0.079203348,-1.415784161,-0.112219663,0.346116318,0.267748159,0.003039726,0.007856669,0.058753205,-0.001356335,0.241883801
0.066730022,-8.458750897,0.306433417,1.450457766,0.028885863,-0.015654188,0.046649964,-0.030720709,-0.076796781,-1.414102904,-0.049606408,0.288788052,0.201750817,0.001533399,-0.011340956,-0.01050523,-0.001443879,-0.149945225
1.358152151,-8.473573754,0.337966185,1.433601629,0.002190405,-0.004769751,-0.004974736,-0.000837333,-0.116548561,-1.474735441,-0.011748667,-0.055110672,-0.026369841,-0.011011437,-0.033110157,-0.047287413,-0.00183794,-0.321899231
0.074934006,-8.459755592,0.309452863,1.448502177,-0.1205634,0.362333609,-0.23467078,-0.031242604,-0.073923723,-1.412299347,-0.062627425,0.344766985,0.216426888,0.016781102,0.014846197,-0.010978218,-0.001929425,-0.261023513
0.083189964,-8.460935347,0.312899459,1.446215856,-0.141570648,0.41359145,-0.274358432,-0.031409628,-0.071173316,-1.410846748,-0.020042881,0.330048789,0.174311801,-0.000162844,-0.03619279,-0.106356045,-0.002815726,-0.770198102
0.091295958,-8.463365238,0.31955625,1.441574172,-0.291586837,0.798814997,-0.557002172,-0.031588975,-0.068057429,-1.409396214,-0.021521647,0.373906405,0.174064105,0.021831926,0.010692531,-0.023623187,-0.003012586,-0.420326564
0.099682093,-8.463429,0.320030518,1.441502792,-0.007651464,0.05691211,-0.008565534,-0.03079182,-0.066492014,-1.408425841,0.095658658,0.187849873,0.116444769,0.008469453,-0.02783036,-0.101316807,-0.003856892,-0.845759812
0.108213186,-8.464452526,0.322885289,1.439674842,-0.122823109,0.342572526,-0.219354015,-0.030180078,-0.064724995,-1.407452881,0.073409005,0.212042301,0.116755189,0.022447728,-0.001724251,-0.078453324,-0.00451067,-0.826017175
