Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
0,-0.862773911,-0.083279477,1.451461642,-103.5328693,-9.993537245,174.1753971,0.104045361,0.042293969,1.585905733,12.48544329,5.075276327,190.3086879,-8.421082605
0.008354187,-0.862865346,-0.083343878,1.451459912,-0.010972161,-0.007728166,-0.000207623,0.103848435,0.042760293,1.585810565,-0.023631076,0.055958841,-0.011420076,-8.431794458
0.01723218,-0.862954134,-0.083394767,1.451477611,-0.010654568,-0.006106604,0.002123911,0.103680313,0.043281448,1.585788972,-0.020174632,0.062538539,-0.002591183,-8.453533348
0.024702072,-0.86301359,-0.08345604,1.451462381,-0.007134752,-0.007352763,-0.001827625,0.103585738,0.043603705,1.585871325,-0.011349042,0.038670851,0.009882354,-8.472887449
0.033866167,-0.863130471,-0.083544994,1.451455523,-0.014025698,-0.010674497,-0.00082301,0.10363956,0.043922648,1.585995405,0.006458672,0.038273257,0.014889583,-8.485464173
0.041717052,-0.863234958,-0.083613464,1.451446735,-0.012538437,-0.008216344,-0.001054601,0.103808438,0.044112114,1.586180164,0.020265288,0.022735851,0.022171081,-8.505172141
0.050115108,-0.863301502,-0.083676416,1.451431487,-0.007985265,-0.007554256,-0.001829757,0.103997546,0.044234122,1.586403499,0.022693029,0.014640977,0.026800219,-8.531465312
0.058109045,-0.863416092,-0.083763604,1.45140939,-0.013750819,-0.010462598,-0.002651629,0.104287334,0.044288544,1.586698015,0.034774587,0.006530678,0.035341875,-8.554755186
0.066291094,-0.863499562,-0.083842922,1.451368856,-0.010016436,-0.009518121,-0.004863981,0.104446191,0.044362962,1.587035226,0.019062758,0.00893017,0.040465366,-8.571445428
0.074880123,-0.863539867,-0.083913454,1.451335561,-0.004836569,-0.008463858,-0.003995406,0.104679537,0.044488562,1.587401467,0.028001551,0.015071949,0.0439489,-8.582512466
0.083050966,-0.863603274,-0.084002513,1.45128872,-0.007608794,-0.01068716,-0.005620916,0.10474551,0.044633055,1.587712138,0.007916783,0.017339145,0.037280534,-8.610298973
0.091377974,-0.863638791,-0.084089836,1.451230437,-0.004262146,-0.010478709,-0.006993954,0.104648697,0.044766099,1.588028586,-0.011617542,0.015965355,0.037973805,-8.631669976
0.100003958,-0.863633851,-0.084185503,1.451152088,0.000592851,-0.01148001,-0.009401939,0.104359811,0.044917065,1.588365367,-0.034666374,0.018115912,0.040413684,-8.653898476
0.108098984,-0.863652892,-0.084298223,1.451062513,-0.002284951,-0.013526472,-0.010748947,0.103982861,0.045053609,1.588607588,-0.045233932,0.01638527,0.02906647,-8.687641821
0.116533995,-0.863650419,-0.084396356,1.450981164,0.000296823,-0.011775898,-0.009761949,0.103503701,0.045279194,1.588816837,-0.057499279,0.027070207,0.025109937,-8.702194853
0.124610186,-0.863608373,-0.084510176,1.450894246,0.005045474,-0.013658475,-0.010430107,0.10304907,0.045465076,1.588936496,-0.054555669,0.022305749,0.014359023,-8.72421572
0.133092165,-0.863600865,-0.084644497,1.450837402,0.000900998,-0.016118449,-0.006821342,0.102539365,0.045754474,1.589004201,-0.061164588,0.034727823,0.008124572,-8.753793419
0.14140296,-0.863569793,-0.084763253,1.450760739,0.00372863,-0.01425071,-0.009199542,0.102000228,0.045948967,1.589049393,-0.06469643,0.023339117,0.005423102,-8.772547553
