Time,xPos,yPos,zPos,xVel,yVel,zVel,ptich,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
0,-1.442608648,-0.128216607,1.339130336,-173.1130378,-15.3859929,160.6956403,-0.004416648,0.492035414,2.007214416,-0.529997815,59.04424972,240.8657299,-2.258008135
0.008633852,-1.441626063,-0.12831432,1.339289187,0.11791018,-0.011725455,0.019062081,-0.005284706,0.492678461,2.007762943,-0.104166951,0.077165599,0.06582332,-2.281990278
0.016649961,-1.440589486,-0.128468198,1.339425473,0.124389266,-0.018465359,0.016354291,-0.006617654,0.493165273,2.008539846,-0.159953766,0.058417401,0.093228279,-2.309999253
0.025469065,-1.439492541,-0.128663121,1.339560754,0.131633393,-0.02339085,0.016233782,-0.008494544,0.493631425,2.009763933,-0.225226749,0.055938312,0.146890535,-2.321824007
0.033089876,-1.438344759,-0.128906334,1.339698992,0.137733836,-0.029185548,0.01658854,-0.010301009,0.494309924,2.011056057,-0.216775752,0.081419847,0.155054839,-2.357862323
0.041512012,-1.437175665,-0.129172307,1.339862052,0.140291266,-0.03191676,0.019567246,-0.01224633,0.495115116,2.012625877,-0.233438525,0.096623026,0.188378362,-2.381366261
0.049666882,-1.43592065,-0.129461516,1.339983283,0.150601772,-0.034705096,0.014547694,-0.013930813,0.495881387,2.014121879,-0.202137996,0.091952485,0.179520317,-2.401575288
0.058125973,-1.434625055,-0.129780069,1.34010953,0.155471472,-0.038226348,0.015149625,-0.015567451,0.496492296,2.015589508,-0.196396507,0.073309127,0.176115464,-2.450494249
0.066400051,-1.433311094,-0.13009119,1.340230521,0.157675309,-0.037334465,0.014518969,-0.016985074,0.497013112,2.017034038,-0.170114869,0.062497916,0.173343611,-2.479697559
0.075351,-1.431958094,-0.130435123,1.340303156,0.16236004,-0.041271998,0.008716123,-0.018688135,0.497597203,2.018557113,-0.204367269,0.070090923,0.182769023,-2.513510674
0.083600998,-1.430603979,-0.130823188,1.340377445,0.1624937,-0.046567829,0.008914664,-0.019955444,0.498224479,2.019825309,-0.152077033,0.075273093,0.152183453,-2.536457649
0.091644049,-1.429245447,-0.131211742,1.340513845,0.16302391,-0.046626443,0.016367993,-0.021079664,0.499194978,2.02091107,-0.134906471,0.116459867,0.130291288,-2.556792878
0.100435019,-1.427878805,-0.131626369,1.340644243,0.163996975,-0.049755219,0.015647827,-0.021685926,0.499986156,2.021557612,-0.072751476,0.094941366,0.07758513,-2.588478354
0.108170033,-1.426535305,-0.132091385,1.340769731,0.161220094,-0.05580193,0.01505858,-0.022340033,0.500983802,2.022047503,-0.078492783,0.119717518,0.058786832,-2.619438458
0.116324902,-1.42520409,-0.132562201,1.340907275,0.159745737,-0.056497944,0.016505278,-0.022574961,0.501995338,2.022089315,-0.028191317,0.121384399,0.005017464,-2.661171965
0.124846935,-1.423887264,-0.133031677,1.341064808,0.15801918,-0.056337106,0.018903881,-0.022404291,0.50313288,2.021791545,0.020480338,0.136505023,-0.035732357,-2.666889043
0.133041859,-1.422572755,-0.133528247,1.341176299,0.157741034,-0.059588345,0.013378972,-0.02215492,0.503901657,2.021106192,0.029924566,0.092253234,-0.08224239,-2.702211162
0.14132905,-1.421275792,-0.134024972,1.341264022,0.155635556,-0.059607031,0.010526816,-0.021869577,0.504296964,2.020057758,0.034241188,0.047436784,-0.125812082,-2.717652688
0.149868011,-1.419992685,-0.134505411,1.341395712,0.153972795,-0.057652695,0.015802794,-0.020927912,0.504736845,2.018178566,0.112999757,0.05278575,-0.225503063,-2.731427703
0.158954859,-1.418774859,-0.134977612,1.341545062,0.146139141,-0.056664111,0.017921903,-0.020167585,0.505256424,2.016236935,0.091239194,0.062349455,-0.232995671,-2.766790167
0.166532993,-1.417549206,-0.135433116,1.341638547,0.147078332,-0.054660501,0.011218193,-0.01890657,0.505371905,2.01352755,0.151321882,0.013857733,-0.325126172,-2.784495762
0.175045013,-1.416351306,-0.135896894,1.341764698,0.143748012,-0.055653303,0.015138151,-0.01725313,0.505752969,2.010201751,0.198412799,0.045727725,-0.399095893,-2.799550211
0.183346987,-1.415200622,-0.136339447,1.341868193,0.138082155,-0.05310644,0.012419449,-0.016173012,0.505793584,2.006763755,0.12961406,0.004873823,-0.412559573,-2.833488949
0.191879988,-1.414029495,-0.13678163,1.341995182,0.140535256,-0.053061936,0.015238693,-0.013997464,0.505973784,2.002241023,0.261065781,0.021624009,-0.542727783,-2.837421986
0.200268984,-1.412929981,-0.137209286,1.342109249,0.131941626,-0.051318728,0.01368795,-0.01194474,0.505923851,1.997459911,0.246326947,-0.005991962,-0.573733469,-2.84873747
0.207954884,-1.411849368,-0.137656442,1.342272373,0.129673543,-0.053658696,0.019574986,-0.009339234,0.505884946,1.991868316,0.31266064,-0.004668621,-0.670991363,-2.875622455
0.21694088,-1.410786654,-0.13808308,1.342494962,0.127525698,-0.051196554,0.026710578,-0.006001404,0.506117071,1.985452879,0.400539663,0.027854924,-0.769852518,-2.894544955
0.224572897,-1.409769097,-0.138508897,1.342704795,0.12210686,-0.051098096,0.025179995,-0.003091026,0.505842305,1.978810485,0.349245393,-0.032971838,-0.797087247,-2.910747847
0.233046055,-1.408766968,-0.13893612,1.342961857,0.120255451,-0.051266732,0.030847412,0.000302271,0.50595369,1.971664555,0.407195576,0.013366204,-0.857511633,-2.928549218
0.24119091,-1.407795605,-0.139294761,1.343220945,0.116563546,-0.043036949,0.031090564,0.003881082,0.50516921,1.964188766,0.429457276,-0.094137584,-0.89709461,-2.935524763
1.508332014,-1.454554466,-0.128557867,1.416641135,-0.126606711,0.054272506,0.020132434,0.052220535,0.082863218,1.540651568,0.010159344,-0.196669581,-0.305878709,-2.953660192
1.516952038,-1.455636293,-0.128090521,1.416893364,-0.129819179,0.056081581,0.030267508,0.05268792,0.081464558,1.5380534,0.05608611,-0.16783923,-0.311780124,-2.958202883
1.525055885,-1.456723841,-0.127612714,1.417133011,-0.130505814,0.057336863,0.028757548,0.053226733,0.079932971,1.53569243,0.064657554,-0.183790435,-0.283316396,-2.972512914
1.534095049,-1.457807795,-0.127131862,1.417383869,-0.13007444,0.05770216,0.030102958,0.054009998,0.078402125,1.533498326,0.093991853,-0.183701476,-0.263292461,-2.981583932
1.542351007,-1.458892782,-0.126672424,1.417595163,-0.130198477,0.055132648,0.025355291,0.054634495,0.076685556,1.531416207,0.074939662,-0.205988262,-0.249854294,-2.986697887
1.550143003,-1.459967917,-0.126215433,1.417775437,-0.129016214,0.054838821,0.021632892,0.055092612,0.074753787,1.529563851,0.054973962,-0.231812338,-0.222282805,-2.992277517
1.558595896,-1.461000757,-0.125762579,1.417982436,-0.123940818,0.054342529,0.024839905,0.055719354,0.072970944,1.527928524,0.075209119,-0.213941138,-0.196239213,-2.997424448
1.566720963,-1.462014117,-0.125321053,1.418192828,-0.121603106,0.05298315,0.025247032,0.056271956,0.071337458,1.526310485,0.066312192,-0.196018301,-0.194164676,-2.992904374
1.5751369,-1.463009872,-0.12487265,1.418442659,-0.119490694,0.053808388,0.029979685,0.056951803,0.070094653,1.524959909,0.081581689,-0.149136666,-0.162069066,-3.000105846
1.582985878,-1.464004146,-0.124459663,1.418596212,-0.119312828,0.04955834,0.018426376,0.05718168,0.068774585,1.523891876,0.027585188,-0.158408105,-0.128164011,-2.993296461
1.591654062,-1.464950391,-0.124059382,1.418804224,-0.113549416,0.048033754,0.024961485,0.057748753,0.067850178,1.522733737,0.068048739,-0.110928844,-0.138976705,-2.986756602
1.600878954,-1.465898643,-0.123654921,1.418976399,-0.113790195,0.048535366,0.020660949,0.05834606,0.06694751,1.521804617,0.071676916,-0.108320186,-0.111494374,-2.988136008
1.608366013,-1.46681388,-0.123269049,1.419117804,-0.109828528,0.04630464,0.016968668,0.058838335,0.065923468,1.521041184,0.059072989,-0.122885009,-0.091611917,-2.984965954
1.616716862,-1.467716866,-0.122879376,1.419317768,-0.10835824,0.046760734,0.023995698,0.059752785,0.065160476,1.520637449,0.109734011,-0.091558995,-0.048448227,-2.967579381
1.624930859,-1.468580691,-0.122474167,1.419496887,-0.103659021,0.048625132,0.021494221,0.060845699,0.064401755,1.520452104,0.131149677,-0.091046511,-0.022241442,-2.956863625
1.633254051,-1.46939877,-0.122072821,1.419639518,-0.098169541,0.048161438,0.017115696,0.061720365,0.063595267,1.52039095,0.104959833,-0.096778676,-0.007338433,-2.946879667
1.641964912,-1.470186778,-0.121652393,1.419833035,-0.094560889,0.050451377,0.02322205,0.062963887,0.063149715,1.52043141,0.149222693,-0.053466126,0.004855149,-2.937946291
1.650449991,-1.470908401,-0.12125214,1.419944585,-0.086594723,0.048030398,0.013386047,0.063718447,0.062997023,1.520677847,0.090547245,-0.018323133,0.029572458,-2.937587124
1.658582926,-1.47160554,-0.120873902,1.42003383,-0.083656759,0.045388537,0.010709426,0.064229425,0.063045202,1.520890676,0.061317311,0.005781503,0.025539497,-2.933012774
1.666561842,-1.472262075,-0.120450987,1.420168245,-0.07878412,0.050749839,0.01612978,0.064881802,0.063583227,1.52121975,0.078285289,0.064563016,0.03948892,-2.927289789
1.675268888,-1.472854536,-0.120030285,1.42031078,-0.071095418,0.0504842,0.017104151,0.065684719,0.064232974,1.52151479,0.096350039,0.077969644,0.035404799,-2.93418223
1.684118986,-1.473409736,-0.119642153,1.420433961,-0.066624007,0.046575893,0.014781773,0.066256583,0.065075769,1.521756559,0.068623664,0.10113534,0.029012243,-2.921593421
1.691549063,-1.473950052,-0.119265215,1.420554519,-0.064837882,0.045232501,0.014466863,0.066734331,0.065986046,1.522335184,0.057329748,0.109233293,0.069434984,-2.904873649
1.699866056,-1.474423586,-0.118903179,1.420644548,-0.05682401,0.043444341,0.010803523,0.067037065,0.066778634,1.522745283,0.036328045,0.095110572,0.049211887,-2.903201838
1.708312035,-1.474923698,-0.118525733,1.420750164,-0.060013469,0.045293536,0.012673897,0.067402948,0.067600836,1.523170448,0.043906,0.098664198,0.05101978,-2.891350099
