Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle,elevTime
0,-8.26958517,-0.054425448,1.524453656,-992.3502204,-6.531053733,182.9344387,-0.042034161,-0.064099378,-1.521636451,-5.044099272,-7.691925373,-182.5963741,0.830707065,2.341907978
0.008352995,-8.26971328,-0.05421884,1.52447199,-0.01537319,0.024792874,0.002200142,-0.041879581,-0.063994743,-1.521001778,0.018549581,0.012556247,0.076160794,0.6776125,2.349800825
0.016388893,-8.269830844,-0.054029111,1.524519946,-0.014107657,0.022767542,0.005754703,-0.0415062,-0.063910917,-1.520387467,0.044805708,0.010059107,0.073717325,0.726245382,2.358433962
0.025132895,-8.269937161,-0.053859109,1.52456714,-0.012758,0.020400274,0.005663295,-0.041202753,-0.063872728,-1.519892129,0.03641365,0.004582661,0.059440483,0.844150038,2.366638899
0.032876968,-8.270057768,-0.053699512,1.524626408,-0.014472912,0.01915165,0.007112143,-0.040939796,-0.063748517,-1.519443184,0.031554856,0.014905299,0.05387348,0.534859731,2.375331879
0.041451931,-8.270158095,-0.05355254,1.524716533,-0.012039138,0.017636552,0.010814949,-0.04054025,-0.063543929,-1.519052409,0.047945443,0.024550603,0.046892947,0.453336118,2.384049892
0.049524784,-8.270266579,-0.053423777,1.524795324,-0.013018107,0.015451615,0.009454962,-0.040178978,-0.063398183,-1.518718364,0.043352686,0.017489447,0.040085393,0.380103286,2.391503811
0.057945967,-8.270376116,-0.053293051,1.524883319,-0.013144481,0.015687121,0.010559392,-0.039731349,-0.063146672,-1.518482724,0.053715526,0.03018138,0.028276847,0.304807052,2.400538921
0.066386938,-8.270485869,-0.053174509,1.52496733,-0.013170302,0.01422502,0.010081271,-0.039300895,-0.063005028,-1.518307514,0.051654411,0.016997265,0.021025224,0.080115742,2.408329964
0.074454784,-8.270568144,-0.053050094,1.525049063,-0.009873097,0.014929788,0.009808046,-0.038972316,-0.062856472,-1.518246069,0.03942946,0.017826769,0.007373404,0.022756723,2.416740894
0.083052874,-8.270674196,-0.052932772,1.525149081,-0.012726189,0.014078625,0.012002135,-0.038525879,-0.062731073,-1.518170039,0.053572517,0.015047776,0.009123499,-0.021067009,2.425030947
0.091502905,-8.270760315,-0.052805838,1.525248409,-0.010334296,0.015232111,0.011919319,-0.038100362,-0.062733338,-1.518087799,0.051061957,-0.00027169,0.009868833,0.19395202,2.433343887
