time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,u,w,q,theta,elevAngle
0,-8.168254743,0.123809939,1.406858752,-980.1905692,14.85719268,168.8230503,0.053544195,-0.065994749,-1.514178814,6.425303346,-7.919369918,-181.7014577,0.010763035,-0.002883147,0.019697107,0.027088688,1.703148626
0.008123875,-8.168476527,0.124516045,1.406367456,-0.026614029,0.084732677,-0.058955503,0.05331697,-0.067057006,-1.513998051,-0.027266985,-0.127470852,0.021691514,0.009129396,-0.006511698,-0.004984136,0.027047154,1.566355755
0.016607046,-8.168089223,0.123378485,1.407345531,0.046476446,-0.136507218,0.117368972,0.053073927,-0.068489698,-1.514028617,-0.029165136,-0.171923002,-0.003667899,0.013136169,-0.006429725,0.000285019,0.027049529,1.579246957
0.024982929,-8.1677551,0.122427647,1.408165695,0.040094709,-0.114100481,0.098419685,0.052796371,-0.069787154,-1.514058535,-0.033306727,-0.155694711,-0.003590098,0.012433689,-0.007647638,-0.016442053,0.026912512,1.477631374
0.033283949,-8.167983572,0.123183117,1.407616553,-0.027416555,0.090656353,-0.065897068,0.052392212,-0.070594563,-1.514162306,-0.048499004,-0.09688911,-0.012452554,0.012548187,-0.004690393,-0.005723426,0.026864817,1.535106568
0.041567087,-8.167711848,0.122436442,1.40823885,0.032606872,-0.089600946,0.074675627,0.052122734,-0.07177549,-1.514450959,-0.032337396,-0.141711251,-0.034638402,0.012296205,-0.003347404,-0.030140545,0.026613646,1.378896796
0.050070047,-8.167099908,0.120581475,1.409747901,0.073432698,-0.222596072,0.181086111,0.051922718,-0.073109561,-1.514828903,-0.024001944,-0.160088507,-0.04535325,0.011681505,-0.002272226,-0.040603394,0.026275284,1.300059778
0.058410883,-8.155972445,0.085605119,1.437885612,1.335295667,-4.19716274,3.376525323,0.055244184,-0.081084362,-1.515521583,0.398575979,-0.956976086,-0.083121535,0.013674039,-0.001234169,-0.044146611,0.025907395,1.24801636
0.066745043,-8.155953138,0.085599839,1.437862137,0.00231682,-0.0006336,-0.002816959,0.055037959,-0.081632175,-1.516067673,-0.024747009,-0.065737532,-0.06553091,0.01286037,-0.004128351,-0.059413955,0.025412279,1.134468419
0.075433969,-8.155881619,0.085337141,1.438007087,0.008582275,-0.031523749,0.017393982,0.054765754,-0.082277561,-1.516739358,-0.032664694,-0.077446354,-0.080602132,0.011488937,-0.002665519,-0.067460587,0.024850108,1.059316524
0.08334589,-8.153717433,0.05733199,1.44197057,0.259702247,-3.360618131,0.475617908,0.107424539,0.026513369,1.515500794,6.319054283,13.05491165,363.8688182,0.011066631,-0.003775003,-0.055615825,0.024386642,1.102371738
0.091475964,-8.154047629,0.058334843,1.441100076,-0.039623441,0.120342384,-0.104459196,0.107101233,0.026921173,1.516317459,-0.038796732,0.048936417,0.097999791,0.007147878,-0.002775624,-0.063632546,0.023856371,1.04081758
0.100252867,-8.154216911,0.058770591,1.440669621,-0.02031382,0.052289721,-0.051654668,0.106753087,0.027228272,1.517356884,-0.041777526,0.036851882,0.124731025,0.004717279,-0.005574828,-0.062485923,0.023335655,1.02802699
0.108574867,-8.154790094,0.060586359,1.439150872,-0.068782044,0.217892169,-0.182249887,0.106308735,0.027318487,1.518459776,-0.05332225,0.010825766,0.132346997,0.003793895,-0.003228456,-0.057875886,0.022853356,1.028713091
0.117166996,-8.156080286,0.064690282,1.435758891,-0.154823055,0.492470753,-0.407037698,0.105547627,0.026913366,1.519816102,-0.091333001,-0.048614446,0.162759166,0.001455548,-0.005078977,-0.049913772,0.022437408,1.060943884
0.124767065,-8.157138768,0.068116313,1.43290516,-0.127017809,0.411123722,-0.342447665,0.104749747,0.026300983,1.52114039,-0.095745622,-0.073485933,0.158914505,0.001606008,-0.000529964,-0.020785913,0.022264192,1.216731313
0.133220911,-8.159058541,0.074311866,1.427803725,-0.2303728,0.743466441,-0.61217226,0.103845366,0.025201164,1.522788506,-0.108525715,-0.13197831,0.19777394,-0.000758544,-0.003520487,-0.020120758,0.022096519,1.222253533
0.14142704,-8.160866061,0.080163416,1.422986695,-0.216902398,0.702185981,-0.578043551,0.10305493,0.024171335,1.524506386,-0.094852317,-0.123579468,0.206145643,-0.002039856,-0.001907882,-0.011483646,0.022000822,1.271536932
