Time,xPos,yPos,zPos,xVel,yVel,zVel,ptich,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
0,-1.125170529,-0.277186185,1.429917457,-135.0204635,-33.26234222,171.5900949,0.068020145,0.11445534,1.659776065,8.162417384,13.73464084,199.1731278,-4.523013406
0.008433104,-1.12520304,-0.27729534,1.429835016,-0.003901331,-0.013098575,-0.00989298,0.067820939,0.115210905,1.659576348,-0.023904752,0.090667814,-0.023966088,-4.536503925
0.016600132,-1.125253018,-0.277428299,1.429747281,-0.005997283,-0.015955125,-0.010528179,0.067618443,0.115951155,1.659479202,-0.024299494,0.088829993,-0.011657521,-4.5396034
0.02501297,-1.125294062,-0.277544414,1.429654259,-0.00492533,-0.013933775,-0.01116266,0.067485882,0.11652133,1.659492933,-0.015907287,0.068420999,0.00164781,-4.54802
0.033046961,-1.125346247,-0.277666593,1.429552774,-0.006262177,-0.014661489,-0.012178173,0.067340396,0.117028589,1.659713855,-0.01745831,0.060871043,0.026510631,-4.564972462
0.04216814,-1.125407168,-0.2777916,1.429465773,-0.007310609,-0.015000812,-0.010440091,0.067183002,0.117468581,1.660083125,-0.018887316,0.05279902,0.044312411,-4.560180214
0.05062294,-1.125447555,-0.277917594,1.429364604,-0.004846401,-0.015119338,-0.012140311,0.067101352,0.117963439,1.660556944,-0.009798013,0.059382948,0.056858296,-4.573617562
0.058042049,-1.12548798,-0.278050515,1.42927938,-0.004850948,-0.015950521,-0.010226883,0.067300933,0.118478691,1.661077407,0.023949766,0.061830207,0.062455455,-4.581756616
0.067054033,-1.125531881,-0.278190721,1.42919189,-0.005268168,-0.016824667,-0.010498781,0.067232752,0.118946492,1.661811918,-0.008181786,0.05613619,0.088141401,-4.583342143
0.074707031,-1.125549841,-0.27833203,1.429115442,-0.002155234,-0.016957085,-0.009173788,0.067207246,0.119447125,1.662572007,-0.003060636,0.060075909,0.091210687,-4.594779302
0.083054066,-1.125562847,-0.278490131,1.429019774,-0.00156066,-0.018972124,-0.011480108,0.067026334,0.119734656,1.663394113,-0.021709485,0.034503735,0.098652645,-4.596324001
0.091419935,-1.12558511,-0.278664435,1.428953349,-0.002671593,-0.020916516,-0.007970992,0.066850988,0.120108417,1.664237969,-0.021041455,0.044851344,0.101262733,-4.598403678
0.100281,-1.125584682,-0.278851373,1.428881099,5.14E-05,-0.022432467,-0.008670013,0.066563627,0.120450595,1.665159058,-0.034483409,0.041061319,0.110530733,-4.601251911
0.107984066,-1.125597817,-0.279061946,1.428833348,-0.001576298,-0.025268793,-0.00573013,0.066223748,0.120911758,1.665975637,-0.040785437,0.05533961,0.097989459,-4.598993789
0.116213083,-1.125626747,-0.279252854,1.428810568,-0.003471526,-0.022908939,-0.002733594,0.066084911,0.121446287,1.666626359,-0.016660438,0.064143487,0.078086679,-4.59667352
0.124653101,-1.125637965,-0.279463758,1.4288013,-0.001346159,-0.025308472,-0.001112217,0.065991377,0.122085644,1.667212849,-0.011224033,0.076722798,0.070378718,-4.597645148
0.133115053,-1.125668382,-0.279693478,1.428811426,-0.003650108,-0.0275664,0.001215212,0.066022218,0.122641257,1.667730944,0.003700869,0.066673557,0.06217148,-4.5901351
0.141405106,-1.125704096,-0.279947167,1.428841689,-0.00428562,-0.03044267,0.003631563,0.066087321,0.123184468,1.668298115,0.007812387,0.06518534,0.068060521,-4.584186064
0.150581121,-1.125725409,-0.280189525,1.428871011,-0.002557557,-0.029083046,0.003518572,0.066188962,0.123597091,1.668866738,0.012196913,0.049514772,0.068234763,-4.576612429
0.158090115,-1.125760418,-0.280475867,1.42890541,-0.004201163,-0.03436104,0.004127842,0.066216649,0.123948879,1.669486367,0.003322432,0.042214556,0.074355396,-4.565034024
0.166420937,-1.125777601,-0.280759369,1.428958347,-0.002061917,-0.034020198,0.006352487,0.06619988,0.124182518,1.670185507,-0.002012333,0.028036646,0.083896891,-4.555730566
