Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle,elevTime
0,-7.827738896,-0.217320931,1.514846818,-939.3286675,-26.07851169,181.7816182,0.042128351,-0.052084076,-1.383149776,5.05540206,-6.250089154,-165.9779731,0.947180784,1.374612093
0.008064985,-7.827759767,-0.217715847,1.514992087,-0.002504566,-0.047389903,0.017432218,0.043076472,-0.051601626,-1.383484651,0.113774537,0.057893993,-0.040185063,1.26619788,1.383358002
0.016237974,-7.82780069,-0.218094916,1.515116554,-0.004910743,-0.045488387,0.014936129,0.044061315,-0.051158702,-1.383911003,0.118181187,0.053150973,-0.051162236,0.890782479,1.391861916
0.024410009,-7.827821853,-0.218478832,1.515246916,-0.002539508,-0.046069844,0.015643389,0.044871908,-0.05073146,-1.384554805,0.097271218,0.051268975,-0.077256202,1.017246562,1.400249958
0.032881975,-7.827826363,-0.218803308,1.515341373,-0.000541271,-0.038937156,0.011334856,0.045553612,-0.050490889,-1.385271114,0.081804382,0.028868555,-0.085957091,0.993929329,1.408305883
0.041411877,-7.827827256,-0.219109337,1.515432232,-0.000107097,-0.036723485,0.010903071,0.046163531,-0.050358639,-1.385990301,0.073190317,0.01586997,-0.086302458,0.72540791,1.417059898
0.049711943,-7.82780421,-0.21936701,1.515496751,0.002765459,-0.030920688,0.007742256,0.046731735,-0.050256949,-1.386801469,0.068184534,0.012202852,-0.097340207,0.692849132,1.425100088
0.05812788,-7.827744379,-0.219631424,1.515550733,0.007179713,-0.03172968,0.006477872,0.047195863,-0.050298335,-1.387583284,0.055695272,-0.004966328,-0.093817751,0.399846901,1.433593988
0.066296101,-7.827684685,-0.219846434,1.51557104,0.007163353,-0.025801301,0.002436887,0.047584515,-0.050484686,-1.388337831,0.046638316,-0.02236218,-0.090545632,0.229933627,1.442528963
0.074959993,-7.827590684,-0.220061444,1.515574302,0.011280062,-0.025801177,0.000391376,0.047773251,-0.050944801,-1.389108899,0.022648346,-0.055213721,-0.09252812,0.474070719,1.450747967
0.083302975,-7.827462079,-0.220239693,1.51556114,0.015432671,-0.02138983,-0.001579372,0.047864808,-0.051567872,-1.389901605,0.010986814,-0.074768575,-0.095124777,0.266008264,1.458679914
0.091681957,-7.827341311,-0.220398164,1.51550812,0.014492117,-0.019016508,-0.006362427,0.047769212,-0.05234609,-1.390564937,-0.011471533,-0.093386151,-0.079599881,0.478206082,1.467283964
0.099860907,-7.827194038,-0.220513211,1.515455394,0.017672748,-0.01380569,-0.006327104,0.047507134,-0.053036786,-1.391251438,-0.031449413,-0.082883472,-0.082380063,0.660460092,1.475118876
0.108333111,-7.827008438,-0.220611831,1.515373768,0.022271993,-0.011834383,-0.009795127,0.04707876,-0.053825528,-1.391955895,-0.051404832,-0.09464914,-0.084534814,0.762287245,1.483527899
0.116470098,-7.826827486,-0.220666616,1.515265744,0.021714269,-0.006574222,-0.012962963,0.04643414,-0.054694094,-1.3926496,-0.077354433,-0.104227917,-0.083244686,0.767918037,1.491656065
0.124871016,-7.826641874,-0.220700801,1.515150582,0.02227338,-0.004102159,-0.01381938,0.045711901,-0.055570522,-1.393287631,-0.086668655,-0.105171337,-0.076563712,0.852063096,1.500211954
0.133207083,-7.826429096,-0.220716556,1.515027228,0.025533388,-0.001890626,-0.014802469,0.044929783,-0.056539826,-1.393936764,-0.093854134,-0.116316514,-0.077895976,0.863620236,1.508673906
0.141736031,-7.826234878,-0.220707148,1.514888665,0.023306143,0.001128913,-0.016627565,0.044153128,-0.057577322,-1.39451937,-0.093198629,-0.12449941,-0.069912662,0.770469238,1.516728878
0.149915934,-7.826050984,-0.220695432,1.514749758,0.022067286,0.001405964,-0.016668854,0.043410589,-0.058586149,-1.395118376,-0.089104689,-0.121059307,-0.071880675,0.723919696,1.525542021
0.158081055,-7.825867741,-0.220671015,1.51461917,0.021989245,0.002930051,-0.015670512,0.042941755,-0.059514364,-1.395641048,-0.05626004,-0.111385795,-0.062720671,0.595547488,1.533874989
